raw_name,canonical_name,match_score,method,entity_type,timestamp
Anthropic,Anthropic,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.271648Z
Groww,Groww,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.275657Z
Mistral AI,Mistral AI,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.275657Z
Instacart,Instacart,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.275657Z
Cohere,Cohere,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.275657Z
GitLab,Gitlab,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.275657Z
Rigetti Computing,Rigetti Computing,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.275657Z
Dropbox,Dropbox,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.276167Z
ElevenLabs,ElevenLabs,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.276167Z
EquipmentShare,Equipmentshare,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.276167Z
BillionToOne,Billiontoone,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.276167Z
Runway,Runway,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.276167Z
Matterport,Matterport,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.276167Z
Amplitude,Amplitude,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.276715Z
Pinecone,Pinecone,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.276715Z
Ginkgo Bioworks,Ginkgo Bioworks,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.276715Z
Weaviate,Weaviate,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.276715Z
Weave,Weave,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.277257Z
Pardes Biosciences,Pardes Biosciences,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.277257Z
Qdrant,Qdrant,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.277257Z
Momentus,Momentus,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.277257Z
Segment,Segment,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.277793Z
Together AI,Together AI,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.277793Z
Algolia,Algolia,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.277793Z
Truebill,Truebill,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.277793Z
Replicate,Replicate,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.277793Z
Twitch,Twitch,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278380Z
PlanGrid,Plangrid,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278380Z
LangChain,LangChain,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.278380Z
Cruise,Cruise,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278380Z
LlamaIndex,LlamaIndex,100.0,AliasDict,STARTUP,2026-08-12T03:04:08.278380Z
Benchling,Benchling,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278903Z
Casetext,Casetext,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278903Z
Bird,Bird,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278903Z
Brex,Brex,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.278903Z
Synthesia,Synthesia,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.279424Z
The Athletic,The Athletic,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.279424Z
Codecademy,Codecademy,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.279424Z
Codeium,Codeium,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.279424Z
Checkr,Checkr,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.279944Z
Lever,Lever,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.279944Z
Writer,Writer,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.279944Z
Clipboard,Clipboard,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.279944Z
Heap,Heap,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.280463Z
Glean,Glean,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.280463Z
Sendwave,Sendwave,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.280463Z
Deel,DeepL,88.88888888888889,FuzzyMatch,STARTUP,2026-08-12T03:04:08.280463Z
DeepL,DeepL,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.280463Z
Clever,Clever,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.280984Z
Caper,Caper,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.280984Z
Groq,Groq,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.280984Z
Reddit,Reddit,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.280984Z
Fivestars,Fivestars,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.281505Z
Cleanlab,Cleanlab,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.281505Z
Faire,Faire,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.281505Z
Arthur AI,Arthur AI,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.281505Z
Fivetran,Fivetran,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.281505Z
Optimizely,Optimizely,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.281505Z
Shield AI,Shield AI,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.281505Z
Weebly,Weebly,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.282085Z
Flock Safety,Flock Safety,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.282085Z
Anyscale,Anyscale,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.282085Z
NURX,Nurx,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.282085Z
Scale AI,Scale AI,100.0,DirectMatch,STARTUP,2026-08-12T03:04:08.282085Z
Go1,Go1,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.282085Z
CoreOS,Coreos,50.0,PassthroughTitleCase,STARTUP,2026-08-12T03:04:08.282603Z
