schemaVersion,recordType,source_name,source_url,title,published_date,summary,full_text,collectedAt
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/accel-closes-oversubscribed-550m-india-fund-within-weeks-19-months-after-its-last/,"Accel closes oversubscribed $550M India fund within weeks, 19 months after its last",2026-08-11T21:39:11Z,The U.S. VC firm still has more than 55% of its previous $650 million India fund available for deployment.,The U.S. VC firm still has more than 55% of its previous $650 million India fund available for deployment.,2026-08-12T07:41:57.227764Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/openai-launches-chatgpt-desktop-app-for-linux/,OpenAI launches ChatGPT desktop app for Linux,2026-08-11T19:15:35Z,OpenAI is finally bringing a dedicated ChatGPT desktop app to Linux operating systems.,OpenAI is finally bringing a dedicated ChatGPT desktop app to Linux operating systems.,2026-08-12T07:41:57.484246Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/googles-gemini-app-surges-to-one-billion-users/,Google’s Gemini app surges to 1 billion users,2026-08-11T18:49:12Z,"Google also shared numbers of how people are actually using the chatbot, with 63% of Gemini users talking directly to the assistant using the voice feature. Plus, Gemini now generates more than 150 million images every day, according to Google.","Google also shared numbers of how people are actually using the chatbot, with 63% of Gemini users talking directly to the assistant using the voice feature. Plus, Gemini now generates more than 150 million images every day, according to Google.",2026-08-12T07:41:57.598777Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/brad-lightcap-openais-longtime-coo-is-leaving-to-start-something-new/,"Brad Lightcap, OpenAI’s longtime COO, is leaving to ‘start something new’",2026-08-11T17:41:34Z,"One of OpenAI's longest-serving executives is headed out the door, although the longtime COO told staff that he was ""excited to help you all advance the mission from a different vantage point.""","One of OpenAI's longest-serving executives is headed out the door, although the longtime COO told staff that he was ""excited to help you all advance the mission from a different vantage point.""",2026-08-12T07:41:57.542522Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/general-catalyst-leads-1-1b-round-into-2-month-old-river-ai/,General Catalyst leads $1.1B round into 2-month-old River AI,2026-08-11T17:41:22Z,"River AI, a startup founded by xAI co-founder Igor Babuschkin, has a fascinating vision for personal agents and secured $1.1 billion out of the gate.","River AI, a startup founded by xAI co-founder Igor Babuschkin, has a fascinating vision for personal agents and secured $1.1 billion out of the gate.",2026-08-12T07:41:57.495655Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/an-unreleased-anthropic-model-made-progress-on-one-of-maths-biggest-unsolved-problems/,An unreleased Anthropic model made progress on one of math’s biggest unsolved problems,2026-08-11T16:25:20Z,"For more than 150 years, the Riemann hypothesis has stood as one of the major unsolved problems in mathematics. Anthropic hasn't solved it — but the company's models made more progress than you might expect.","For more than 150 years, the Riemann hypothesis has stood as one of the major unsolved problems in mathematics. Anthropic hasn't solved it — but the company's models made more progress than you might expect.",2026-08-12T07:41:57.556294Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/spotify-will-label-ai-persona-profiles-and-exclude-their-music-from-recommendations/,Spotify will label ‘AI Persona’ profiles and exclude their music from recommendations,2026-08-11T13:00:00Z,"Spotify is introducing “AI Persona” labels for artist profiles that represent AI-generated identities and will exclude their music from editorial, algorithmic, and personalized recommendations by default.","Spotify is introducing “AI Persona” labels for artist profiles that represent AI-generated identities and will exclude their music from editorial, algorithmic, and personalized recommendations by default.",2026-08-12T07:41:57.481827Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/11/anthropic-says-it-will-watermark-text-generated-by-its-ai-models/,Anthropic says it will watermark text generated by its AI models,2026-08-11T12:13:47Z,Anthropic will extend support for watermarking AI generations for older models as well.,Anthropic will extend support for watermarking AI generations for older models as well.,2026-08-12T07:41:57.604008Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/10/openai-reportedly-completed-a-7-billion-employee-tender-offer/,OpenAI reportedly completed a $7 billion employee tender offer,2026-08-11T00:03:18Z,San Francisco's housing market is in trouble again.,San Francisco's housing market is in trouble again.,2026-08-12T07:41:57.507746Z
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/08/10/as-ai-led-attacks-multiply-openai-launches-a-new-cyber-model/,"As AI-led attacks multiply, OpenAI launches a new cyber model",2026-08-10T23:56:15Z,"OpenAI is expanding its AI cybersecurity defense program Daybreak, and rolling out a new cyber-trained AI model with it.","OpenAI is expanding its AI cybersecurity defense program Daybreak, and rolling out a new cyber-trained AI model with it.",2026-08-12T07:41:57.460427Z
