schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/1706.03762,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit,https://arxiv.org/abs/1706.03762,https://github.com/tensorflow/tensor2tensor,34500,2017-06-12T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin; Ming-Wei Chang; Kenton Lee; Kristina Toutanova,https://arxiv.org/abs/1810.04805,https://github.com/google-research/bert,37200,2018-10-11T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2005.14165,Language Models are Few-Shot Learners (GPT-3),Tom B. Brown; Benjamin Mann; Nick Ryder; Dario Amodei,https://arxiv.org/abs/2005.14165,https://github.com/openai/gpt-3,18400,2020-05-28T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2307.09288,Llama 2: Open Foundation and Fine-Tuned Chat Models,Hugo Touvron; Louis Martin; Kevin Stone; Armand Joulin,https://arxiv.org/abs/2307.09288,https://github.com/facebookresearch/llama,56000,2023-07-18T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/1512.03385,Deep Residual Learning for Image Recognition (ResNet),Kaiming He; Xiangyu Zhang; Shaoqing Ren; Jian Sun,https://arxiv.org/abs/1512.03385,https://github.com/KaimingHe/deep-residual-networks,17500,2015-12-10T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://nature.com/articles/nature16961,Mastering the Game of Go with Deep Neural Networks (AlphaGo),David Silver; Aja Huang; Chris J. Maddison; Demis Hassabis,https://nature.com/articles/nature16961,https://github.com/deepmind/alphago,12000,2016-01-28T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2106.09685,LoRA: Low-Rank Adaptation of Large Language Models,Edward J. Hu; Yelong Shen; Phillip Wallis; Zeyuan Allen-Zhu,https://arxiv.org/abs/2106.09685,https://github.com/microsoft/LoRA,24300,2021-06-17T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2305.14314,QLoRA: Efficient Finetuning of Quantized LLMs,Tim Dettmers; Artidoro Pagnoni; Ari Holtzman; Luke Zettlemoyer,https://arxiv.org/abs/2305.14314,https://github.com/artidoro/qlora,16800,2023-05-23T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2305.18290,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,Rafael Rafailov; Archit Sharma; Eric Mitchell; Stefano Ermon,https://arxiv.org/abs/2305.18290,https://github.com/eric-mitchell/direct-preference-optimization,8900,2023-05-29T00:00:00Z,2026-08-11T09:09:00.046094Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2112.10752,High-Resolution Image Synthesis with Latent Diffusion Models,Robin Rombach; Andreas Blattmann; Dominik Lorenz; Björn Ommer,https://arxiv.org/abs/2112.10752,https://github.com/CompVis/latent-diffusion,31200,2021-12-20T00:00:00Z,2026-08-11T09:09:00.046094Z
